1629051655488,2021.08.15 21:20:55.488,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7ce28ab000 dwIndex=0,out of range
1629051655501,2021.08.15 21:20:55.501,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7ce28ab800 dwIndex=0,out of range
1629051655512,2021.08.15 21:20:55.512,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cd13c9000 dwIndex=0,out of range
1629051669221,2021.08.15 21:21:09.221,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MVoid* CVEStoryboardData::MakeTransformArray(MDWord*, MRESULT*, AMVE_POSITION_RANGE_TYPE*, MBool)----ERR----this(0x7ce77c0400) err 0x85e045
1629051669365,2021.08.15 21:21:09.365,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cfa16c800 dwIndex=0,out of range
1629051669422,2021.08.15 21:21:09.422,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7ccf09e000 dwIndex=0,out of range
1629051669440,2021.08.15 21:21:09.440,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7ccf09e800 dwIndex=0,out of range
1629051674541,2021.08.15 21:21:14.541,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cd97db800 dwIndex=0,out of range
1629051674559,2021.08.15 21:21:14.559,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cd2c86000 dwIndex=0,out of range
1629051674573,2021.08.15 21:21:14.573,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7ccf21c800 dwIndex=0,out of range
1629051674587,2021.08.15 21:21:14.587,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cd2c85000 dwIndex=0,out of range
1629051674601,2021.08.15 21:21:14.601,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cd2c85800 dwIndex=0,out of range
1629051674610,2021.08.15 21:21:14.610,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cce0de000 dwIndex=0,out of range
1629051732293,2021.08.15 21:22:12.293,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----MDWord QVET_FaceDTExpressionGetVersion()----ERR----QVET_FaceDTExpressionGetVersion failed, err 0x8e6173
